key,translation,locale
validator.check.phone,Invalid phone number,en_US
account.newsletter.text,"Sign up for our Newsletter and always stay up to date! Get updates about latest smartphones and wearables trends, top brands and great offers.",en_US
address.city,City,en_US
address.salutation,Salutation,en_US
address.street,Street,en_US
address.street_nr,Number,en_US
address.zip_code,Zip Code,en_US
AdyenCreditCard,Credit Card,en_US
adyen.payment.error.cc_cvv,Please check the CVC code,en_US
adyen.payment.error.cc_month,Please check the Credit Card month,en_US
adyen.payment.error.cc_number,Please check the Credit Card number,en_US
adyen.payment.error.cc_year,Please check the Credit Card year,en_US
afiliate.legal.text,"This product is sold by a third party seller. The seller is solely responsible for pricing, product description, stock levels and shipping. Regarding myWorld’s liability for hyperlinks and their content, we refer to the terms of use applicable for the myWorld marketplace.",en_US
agent.account.overview,Overview,en_US
agent.account.page_title,Agent,en_US
agent.account.profile_data,Agent Profile,en_US
agent.account.quote_request,Requests for Quote,en_US
agent.authentication.failed,Authentication failed,en_US
agent.autocomplete.no_results,No results found,en_US
agent.confirm_user_selection,Confirm,en_US
agent.control_bar.customer_name,Customer:,en_US
agent.control_bar.logout,Logout,en_US
agent.control_bar.logout_as_customer,End Customer Assistance,en_US
agent.control_bar.username,Agent:,en_US
agent.login.email,Email,en_US
agent.login.password,Password,en_US
agent.login.title,Access your account,en_US
auth.email,E-mail,en_US
auth.im-already-customer,I already have an account,en_US
auth.im-new-customer,New Customer,en_US
auth.login,Sign up,en_US
auth.password,Password,en_US
auth.password-forgot,Forgotten?,en_US
auth.register,Register,en_US
autocomplete.placeholder,Search,en_US
availability_notification.do_not_notify_me,Do not notify me when back in stock,en_US
availability_notification.email_address,Email address,en_US
availability_notification.notify_me,Notify me when back in stock,en_US
availability_notification.subscribed,Successfully subscribed,en_US
availability_notification_subscription.mail.copyright,"<em>Copyright © current year company name, All rights reserved.</em><br><br>",en_US
availability_notification_subscription.mail.notification.body,"The wait is over, you can now add this product inside your cart.",en_US
availability_notification_subscription.mail.notification.buy_now,Buy now,en_US
availability_notification_subscription.mail.notification.head,%name% is available again!,en_US
availability_notification_subscription.mail.notification.subject,%name% is available again!,en_US
availability_notification_subscription.mail.subscribed.body,You will receive an email when the product will be available again,en_US
availability_notification_subscription.mail.subscribed.head,We just informed our purchase team about your subscription!,en_US
availability_notification_subscription.mail.subscribed.subject,We just informed our purchase team about your subscription!,en_US
availability_notification_subscription.mail.unsubscribe,"Want to change how you receive these emails?<br>You can <a target=""_blank"" href=""%link%"" style=""mso-line-height-rule: exactly;-ms-text-size-adjust: 100%;-webkit-text-size-adjust: 100%;color: #656565;font-weight: normal;text-decoration: underline;"">unsubscribe from this list</a>.",en_US
cart.add-to-shopping-list.form.placeholder,Enter name of a new shopping list,en_US
cart.cart,Cart,en_US
cart.checkout,Checkout,en_US
cart.delete.button,Delete,en_US
cart.code.apply.failed,Code could not be applied,en_US
cart.code.enter-code,Enter voucher/gift card code,en_US
cart.discounts,Discounts,en_US
cart.empty.button,Check out the offers,en_US
cart.empty.description,"The Shopping cart's only desire is to collect the best offers, gifts and many other great products for you. So fulfil your Shopping cart's wish and make sense of it!",en_US
cart.empty.title,Your shopping cart is empty!,en_US
cart.giftcard.apply.failed,The gift card is not applicable,en_US
cart.giftcard.apply.successful,Your gift card code has been applied,en_US
cart.giftcard.label,Gift card,en_US
cart.item_attributes_needed,Please select more attributes,en_US
cart.item.bundle.description,Items in the bundle:,en_US
cart.item.item_price,Item price,en_US
cart.item.item_total,Item total,en_US
cart.item.option.description,Product options:,en_US
benefit_deal.item_quantity,Quantity:,en_US
benefit_deal.product.attribute.manufacturer_name,Brand:,en_US
cart.item.option.pre.check.validation.error.exists,"You can not reorder the product %name% directly, please add it to your cart separately.",en_US
cart.item_quantity,Quantity,en_US
cart.item.remove.confirm,Are you sure that you want to remove this item?,en_US
cart.item.sku,SKU,en_US
cart_note.cart_page.cart.note_added,Note has been successfully added to Cart,en_US
cart_note.cart_page.item.note_added,Note has been successfully added to item '%sku%',en_US
cart_note.checkout_page.item_note,Note,en_US
cart_note.checkout_page.quote_note,Cart Note,en_US
cart_note.customer_page.item_note,Order item Note,en_US
cart_note.customer_page.order_note,Order Note,en_US
cart_note.form.save,Save,en_US
cart_note.item_form.enter_note,Add a note for the item,en_US
cart_note.item_form.placeholder,Enter your note,en_US
cart_note.quote_form.enter_note,Add a note for the cart,en_US
cart_note.quote_form.placeholder,Enter your note,en_US
cart.note-title,Cart Note,en_US
cart_page.error_message.unexpected_error,Unexpected error occurred.,en_US
cart.pre.check.affiliate.failed,Item %sku% cannot be added to the cart.,en_US
cart.pre.check.availability.failed,Item %sku% only has availability of %stock%.,en_US
cart.pre.check.availability.failed.empty,Item %sku% no longer available.,en_US
cart.pre.check.price.failed,Price in selected currency not found for product with sku '%sku%'. Please change the currency or remove product from order.,en_US
cart.pre.check.product_discontinued,"Product '%name%' is discontinued, please choose an alternative one.",en_US
