key,translation,locale
validator.check.phone,Väärä puhelinnumero,fi_FI
account.newsletter.text,"Rekisteröidy uutiskirjeemme ja pysy aina ajan tasalla! Hanki päivityksiä uusimmista älypuhelimista ja kulutuskuluista, parhaimmista tuotemerkeistä ja edullisista tarjouksista.",fi_FI
address.city,Kaupunki,fi_FI
address.salutation,Tervehdys,fi_FI
address.street,Katu,fi_FI
address.street_nr,Määrä,fi_FI
address.zip_code,Postinumero,fi_FI
AdyenCreditCard,Luottokortti,fi_FI
adyen.payment.error.cc_cvv,Tarkista CVC-koodi,fi_FI
adyen.payment.error.cc_month,Tarkista luottokortin kuukausi,fi_FI
adyen.payment.error.cc_number,Tarkista luottokortin numero,fi_FI
adyen.payment.error.cc_year,Tarkista luottokorttivuosi,fi_FI
afiliate.legal.text,"Tämän tuotteen myydä kolmannen osapuolen myyjä. Myyjä on yksin vastuussa hinnoittelusta, tuotekuvauksesta, varastotasosta ja merenkulusta. Myworldin vastuu hyperlinksistä ja niiden sisältöä varten viitataan MyWorld Marketplacelle sovellettaviin käyttöehtoihin.",fi_FI
agent.account.overview,Yleiskatsaus,fi_FI
agent.account.page_title,Agentti,fi_FI
agent.account.profile_data,Agenttiprofiili,fi_FI
agent.account.quote_request,Lainauspyynnöt,fi_FI
agent.authentication.failed,Todennus epäonnistui,fi_FI
agent.autocomplete.no_results,Ei tuloksia,fi_FI
agent.confirm_user_selection,Vahvistaa,fi_FI
agent.control_bar.customer_name,Asiakas:,fi_FI
agent.control_bar.logout,Kirjautua ulos,fi_FI
agent.control_bar.logout_as_customer,Lopeta asiakastuki,fi_FI
agent.control_bar.username,Agent:,fi_FI
agent.login.email,Sähköposti,fi_FI
agent.login.password,Salasana,fi_FI
agent.login.title,Kirjaudu tiliisi,fi_FI
auth.email,Sähköposti,fi_FI
auth.im-already-customer,minulla on jo tunnus,fi_FI
auth.im-new-customer,Uusi asiakas,fi_FI
auth.login,Kirjaudu,fi_FI
auth.password,Salasana,fi_FI
auth.password-forgot,Unohdettu?,fi_FI
auth.register,Rekisteri,fi_FI
autocomplete.placeholder,Hae,fi_FI
availability_notification.do_not_notify_me,"Älä ilmoita minulle, kun takaisin varastossa",fi_FI
availability_notification.email_address,Sähköpostiosoite,fi_FI
availability_notification.notify_me,"Ilmoita minulle, kun takaisin varastossa",fi_FI
availability_notification.subscribed,Onnistuneesti merkitty,fi_FI
availability_notification_subscription.mail.copyright,"<em> Copyright © Nykyinen vuosi Yrityksen nimi, kaikki oikeudet pidätetään. </ em> <br> <br>",fi_FI
availability_notification_subscription.mail.notification.body,"Odotus on ohi, voit nyt lisätä tämän tuotteen ostoskorissasi.",fi_FI
availability_notification_subscription.mail.notification.buy_now,Osta nyt,fi_FI
availability_notification_subscription.mail.notification.head,%name% on jälleen saatavilla!,fi_FI
availability_notification_subscription.mail.notification.subject,%name% on jälleen saatavilla!,fi_FI
availability_notification_subscription.mail.subscribed.body,"Saat sähköpostiviestin, kun tuote on jälleen käytettävissä",fi_FI
availability_notification_subscription.mail.subscribed.head,Ilmoitimme vain ostotiimin tilauksesta!,fi_FI
availability_notification_subscription.mail.subscribed.subject,Ilmoitimme vain ostotiimin tilauksesta!,fi_FI
availability_notification_subscription.mail.unsubscribe,"Haluatko muuttaa, miten saat nämä sähköpostit? Text-size-säätö: 100SKIP @ Skip. / A>.",fi_FI
cart.add-to-shopping-list.form.placeholder,Anna uuden ostoslistan nimi,fi_FI
cart.cart,Kori,fi_FI
cart.checkout,Tarkista,fi_FI
cart.delete.button,Poistaa,fi_FI
cart.code.apply.failed,Koodia ei voitu käyttää,fi_FI
cart.code.enter-code,Syötä kuponki / lahjakortin koodi,fi_FI
cart.discounts,Alennukset,fi_FI
cart.empty.button,Tutustu tarjouksiin,fi_FI
cart.empty.description,"Ostoskori vain halu on kerätä parhaat tarjoukset, lahjat ja monet muut suuret tuotteet sinulle. Joten täytä ostoskorin toiveesi ja tee siitä järkeä!",fi_FI
