category_key,parent_category_key,name.en_US,meta_title.en_US,meta_description.en_US,meta_keywords.en_US,is_active,is_in_menu,is_clickable,is_searchable,is_root,is_main,node_order,template_name,category_image_name.en_US,name.it_IT,name.fr_FR,name.el_GR,meta_title.it_IT,meta_title.fr_FR,meta_title.el_GR,meta_description.it_IT,meta_description.fr_FR,meta_description.el_GR,meta_keywords.it_IT,meta_keywords.fr_FR,meta_keywords.el_GR,category_image_name.it_IT,category_image_name.fr_FR,category_image_name.el_GR
shop,,shop,Shop,English version of Shop,English version of Shop,1,0,1,0,1,1,900,Catalog (default),,negozio,magasin,κατάστημα,negozio,magasin,κατάστημα,negozio,magasin,κατάστημα,negozio,magasin,κατάστημα,,,
9999999996,shop,Easter specials,Easter specials,Easter specials,Easter specials,1,0,1,0,0,1,13,Catalog (default),,Speciali di Pasqua,Promotions de Pâques,Πάσχα Προσφορές,Speciali di Pasqua,Promotions de Pâques,Πάσχα Προσφορές,Speciali di Pasqua,Promotions de Pâques,Πάσχα Προσφορές,Speciali di Pasqua,Promotions de Pâques,Πάσχα Προσφορές,,,
9999999997,shop,offline / deactivated,offline / deactivated,offline / deactivated,offline / deactivated,0,0,1,0,0,1,18,Catalog (default),,offline / disattivato,hors ligne / désactivé,Offline / απενεργοποιημένη,offline / disattivato,hors ligne / désactivé,Offline / απενεργοποιημένη,offline / disattivato,hors ligne / désactivé,Offline / απενεργοποιημένη,offline / disattivato,hors ligne / désactivé,Offline / απενεργοποιημένη,,,
9999999998,shop,Highlights,Highlights,Highlights,Highlights,1,0,1,0,0,1,14,Catalog (default),,Mette in risalto,Points forts,Καλύτερες στιγμές,Mette in risalto,Points forts,Καλύτερες στιγμές,Mette in risalto,Points forts,Καλύτερες στιγμές,Mette in risalto,Points forts,Καλύτερες στιγμές,,,
9999999999,shop,Unsorted,Unsorted,Unsorted,Unsorted,0,0,1,0,0,1,17,Catalog (default),,Non richiesto,Non formé,Απρεπής,Non richiesto,Non formé,Απρεπής,Non richiesto,Non formé,Απρεπής,Non richiesto,Non formé,Απρεπής,,,
MC_10001,shop,Automotive,Automotive,Automotive,Automotive,1,1,1,1,0,1,2,Catalog (default),,Settore automobilistico,Automobile,Αυτοκινητοβιομηχανία,Settore automobilistico,Automobile,Αυτοκινητοβιομηχανία,Settore automobilistico,Automobile,Αυτοκινητοβιομηχανία,Settore automobilistico,Automobile,Αυτοκινητοβιομηχανία,,,
MC_11001,shop,Fashion & Accessories,Fashion & Accessories,Fashion & Accessories,Fashion & Accessories,1,1,1,1,0,1,10,Catalog (default),,Accessori alla moda,Accessoires de mode,Αξεσουάρ μόδας,Accessori alla moda,Accessoires de mode,Αξεσουάρ μόδας,Accessori alla moda,Accessoires de mode,Αξεσουάρ μόδας,Accessori alla moda,Accessoires de mode,Αξεσουάρ μόδας,,,
MC_12001,shop,Sports & Outdoor,Sports & Outdoor,Sports & Outdoor,Sports & Outdoor,1,1,1,1,0,1,11,Catalog (default),,Sport e esterni.,Sports et extérieurs,Αθλητισμός & Εξωτερική,Sport e esterni.,Sports et extérieurs,Αθλητισμός & Εξωτερική,Sport e esterni.,Sports et extérieurs,Αθλητισμός & Εξωτερική,Sport e esterni.,Sports et extérieurs,Αθλητισμός & Εξωτερική,,,
MC_13001,shop,Pet Supplies,Pet Supplies,Pet Supplies,Pet Supplies,1,1,1,1,0,1,12,Catalog (default),,Prodotti per animali,Fournitures pour animaux,Προμήθειες κατοικίδιων ζώων,Prodotti per animali,Fournitures pour animaux,Προμήθειες κατοικίδιων ζώων,Prodotti per animali,Fournitures pour animaux,Προμήθειες κατοικίδιων ζώων,Prodotti per animali,Fournitures pour animaux,Προμήθειες κατοικίδιων ζώων,,,
MC_14001,shop,Vouchers,Vouchers,Vouchers,Vouchers,1,1,1,1,0,1,16,Catalog (default),,Voucher,Pièces justificatives,Κουπόνια,Voucher,Pièces justificatives,Κουπόνια,Voucher,Pièces justificatives,Κουπόνια,Voucher,Pièces justificatives,Κουπόνια,,,
MC_15001,shop,Daily Needs,Daily Needs,Daily Needs,Daily Needs,1,1,1,1,0,1,1,Catalog (default),,Bisogni quotidiani,Besoins quotidiens,Καθημερινές ανάγκες,Bisogni quotidiani,Besoins quotidiens,Καθημερινές ανάγκες,Bisogni quotidiani,Besoins quotidiens,Καθημερινές ανάγκες,Bisogni quotidiani,Besoins quotidiens,Καθημερινές ανάγκες,,,
MC_20001,shop,Baby & Child,Baby & Child,Baby & Child,Baby & Child,1,1,1,1,0,1,3,Catalog (default),,Baby & Child.,Nouveau-née,Μωρό & παιδί,Baby & Child.,Nouveau-née,Μωρό & παιδί,Baby & Child.,Nouveau-née,Μωρό & παιδί,Baby & Child.,Nouveau-née,Μωρό & παιδί,,,
MC_30001,shop,Health & Beauty,Health & Beauty,Health & Beauty,Health & Beauty,1,1,1,1,0,1,4,Catalog (default),,Salute & Bellezza,Santé & Beauté,Υγεία,Salute & Bellezza,Santé & Beauté,Υγεία,Salute & Bellezza,Santé & Beauté,Υγεία,Salute & Bellezza,Santé & Beauté,Υγεία,,,
MC_40001,shop,"Books, Movies, TV Shows & Music","Books, Movies, TV Shows & Music","Books, Movies, TV Shows & Music","Books, Movies, TV Shows & Music",1,1,1,1,0,1,5,Catalog (default),,"Libri, film, programmi TV e musica","Livres, films, émissions de télévision et musique","Βιβλία, ταινίες, τηλεοπτικές εκπομπές και μουσική","Libri, film, programmi TV e musica","Livres, films, émissions de télévision et musique","Βιβλία, ταινίες, τηλεοπτικές εκπομπές και μουσική","Libri, film, programmi TV e musica","Livres, films, émissions de télévision et musique","Βιβλία, ταινίες, τηλεοπτικές εκπομπές και μουσική","Libri, film, programmi TV e musica","Livres, films, émissions de télévision et musique","Βιβλία, ταινίες, τηλεοπτικές εκπομπές και μουσική",,,
MC_50001,shop,Office Supplies & Stationery,Office Supplies & Stationery,Office Supplies & Stationery,Office Supplies & Stationery,1,1,1,1,0,1,6,Catalog (default),,Forniture per ufficio e cancelleria,Fournitures de bureau et papeterie,Προμήθειες & Χαρτικά γραφείου,Forniture per ufficio e cancelleria,Fournitures de bureau et papeterie,Προμήθειες & Χαρτικά γραφείου,Forniture per ufficio e cancelleria,Fournitures de bureau et papeterie,Προμήθειες & Χαρτικά γραφείου,Forniture per ufficio e cancelleria,Fournitures de bureau et papeterie,Προμήθειες & Χαρτικά γραφείου,,,
MC_60001,shop,Electronics,Electronics,Electronics,Electronics,1,1,1,1,0,1,7,Catalog (default),,Elettronica,Électronique,ΗΛΕΚΤΡΟΝΙΚΑ ΕΙΔΗ,Elettronica,Électronique,ΗΛΕΚΤΡΟΝΙΚΑ ΕΙΔΗ,Elettronica,Électronique,ΗΛΕΚΤΡΟΝΙΚΑ ΕΙΔΗ,Elettronica,Électronique,ΗΛΕΚΤΡΟΝΙΚΑ ΕΙΔΗ,,,
MC_70001,shop,Food & Drink,Food & Drink,Food & Drink,Food & Drink,1,1,1,1,0,1,8,Catalog (default),,Cibo bevanda,Nourriture boisson,Φαγητο ΠΟΤΟ,Cibo bevanda,Nourriture boisson,Φαγητο ΠΟΤΟ,Cibo bevanda,Nourriture boisson,Φαγητο ΠΟΤΟ,Cibo bevanda,Nourriture boisson,Φαγητο ΠΟΤΟ,,,
MC_80001,shop,Home & Garden,Home & Garden,Home & Garden,Home & Garden,1,1,1,1,0,1,9,Catalog (default),,Casa & Giardino,Maison & Jardin,σπίτι και κήπος,Casa & Giardino,Maison & Jardin,σπίτι και κήπος,Casa & Giardino,Maison & Jardin,σπίτι και κήπος,Casa & Giardino,Maison & Jardin,σπίτι και κήπος,,,
MC_90001,shop,Merchandise,Merchandise,Merchandise,Merchandise,1,1,1,1,0,1,15,Catalog (default),,Merce,Marchandise,Εμπορεύματα,Merce,Marchandise,Εμπορεύματα,Merce,Marchandise,Εμπορεύματα,Merce,Marchandise,Εμπορεύματα,,,
SUB_10001,MC_10001,Trailers & Carriers,Trailers & Carriers,Trailers & Carriers,Trailers & Carriers,1,1,1,1,0,1,,Catalog (default),,Trailers & Carriers.,Remorques et transporteurs,Ρυμουλκούμενα και Μεταφορείς,Trailers & Carriers.,Remorques et transporteurs,Ρυμουλκούμενα και Μεταφορείς,Trailers & Carriers.,Remorques et transporteurs,Ρυμουλκούμενα και Μεταφορείς,Trailers & Carriers.,Remorques et transporteurs,Ρυμουλκούμενα και Μεταφορείς,,,
SUB_10002,MC_10001,Car Tuning,Car Tuning,Car Tuning,Car Tuning,1,1,1,1,0,1,,Catalog (default),,Auto Tuning.,Réglage de voiture,Ρύθμιση αυτοκινήτου,Auto Tuning.,Réglage de voiture,Ρύθμιση αυτοκινήτου,Auto Tuning.,Réglage de voiture,Ρύθμιση αυτοκινήτου,Auto Tuning.,Réglage de voiture,Ρύθμιση αυτοκινήτου,,,
SUB_10003,MC_10001,Car Workshop Equipment,Car Workshop Equipment,Car Workshop Equipment,Car Workshop Equipment,1,1,1,1,0,1,,Catalog (default),,Attrezzature per laboratorio auto,Équipement datelier de voiture,Εξοπλισμός συνεργείου αυτοκινήτου,Attrezzature per laboratorio auto,Équipement datelier de voiture,Εξοπλισμός συνεργείου αυτοκινήτου,Attrezzature per laboratorio auto,Équipement datelier de voiture,Εξοπλισμός συνεργείου αυτοκινήτου,Attrezzature per laboratorio auto,Équipement datelier de voiture,Εξοπλισμός συνεργείου αυτοκινήτου,,,
SUB_10004,MC_10001,Car Care,Car Care,Car Care,Car Care,1,1,1,1,0,1,,Catalog (default),,Cura della macchina,Soins de voiture,Φροντίδα του αυτοκινήτου,Cura della macchina,Soins de voiture,Φροντίδα του αυτοκινήτου,Cura della macchina,Soins de voiture,Φροντίδα του αυτοκινήτου,Cura della macchina,Soins de voiture,Φροντίδα του αυτοκινήτου,,,
SUB_10005,MC_10001,Car Parts,Car Parts,Car Parts,Car Parts,1,1,1,1,0,1,,Catalog (default),,Ricambi auto,Pièces de voiture,Ανταλλακτικά αυτοκινήτων,Ricambi auto,Pièces de voiture,Ανταλλακτικά αυτοκινήτων,Ricambi auto,Pièces de voiture,Ανταλλακτικά αυτοκινήτων,Ricambi auto,Pièces de voiture,Ανταλλακτικά αυτοκινήτων,,,
SUB_10006,MC_10001,Car accessories,Car accessories,Car accessories,Car accessories,1,1,1,1,0,1,,Catalog (default),,Accessori per auto,Accessoires de voiture,ΑΞΕΣΟΥΑΡ ΑΥΤΟΚΙΝΗΤΟΥ,Accessori per auto,Accessoires de voiture,ΑΞΕΣΟΥΑΡ ΑΥΤΟΚΙΝΗΤΟΥ,Accessori per auto,Accessoires de voiture,ΑΞΕΣΟΥΑΡ ΑΥΤΟΚΙΝΗΤΟΥ,Accessori per auto,Accessoires de voiture,ΑΞΕΣΟΥΑΡ ΑΥΤΟΚΙΝΗΤΟΥ,,,
SUB_10007,MC_10001,Vehicles,Vehicles,Vehicles,Vehicles,1,1,1,1,0,1,,Catalog (default),,Veicoli,Véhicules,Οχήματα,Veicoli,Véhicules,Οχήματα,Veicoli,Véhicules,Οχήματα,Veicoli,Véhicules,Οχήματα,,,
SUB_10008,MC_10001,Motorcycle Supplies,Motorcycle Supplies,Motorcycle Supplies,Motorcycle Supplies,1,1,1,1,0,1,,Catalog (default),,Forniture per motocicli,Fournitures de moto,Προμήθειες μοτοσικλετών,Forniture per motocicli,Fournitures de moto,Προμήθειες μοτοσικλετών,Forniture per motocicli,Fournitures de moto,Προμήθειες μοτοσικλετών,Forniture per motocicli,Fournitures de moto,Προμήθειες μοτοσικλετών,,,
SUB_10009,MC_10001,Oils & Maintenance,Oils & Maintenance,Oils & Maintenance,Oils & Maintenance,1,1,1,1,0,1,,Catalog (default),,Oli e manutenzione,Huiles et maintenance,Έλαια & Συντήρηση,Oli e manutenzione,Huiles et maintenance,Έλαια & Συντήρηση,Oli e manutenzione,Huiles et maintenance,Έλαια & Συντήρηση,Oli e manutenzione,Huiles et maintenance,Έλαια & Συντήρηση,,,
SUB_10010,MC_10001,Wheels & Tires,Wheels & Tires,Wheels & Tires,Wheels & Tires,1,1,1,1,0,1,,Catalog (default),,Ruote e gomme,Roues et pneus,Τροχοί και ελαστικά,Ruote e gomme,Roues et pneus,Τροχοί και ελαστικά,Ruote e gomme,Roues et pneus,Τροχοί και ελαστικά,Ruote e gomme,Roues et pneus,Τροχοί και ελαστικά,,,
SUB_10010_01,SUB_10010,Rims,Rims,Rims,Rims,1,1,1,1,0,1,,Catalog (default),,Cerchi,Jantes,Ζάντες,Cerchi,Jantes,Ζάντες,Cerchi,Jantes,Ζάντες,Cerchi,Jantes,Ζάντες,,,
SUB_10010_02,SUB_10010,Summer tires,Summer tires,Summer tires,Summer tires,1,1,1,1,0,1,,Catalog (default),,Pneumatici estivi,Pneus dété,Καλοκαιρινά ελαστικά,Pneumatici estivi,Pneus dété,Καλοκαιρινά ελαστικά,Pneumatici estivi,Pneus dété,Καλοκαιρινά ελαστικά,Pneumatici estivi,Pneus dété,Καλοκαιρινά ελαστικά,,,
SUB_10010_03,SUB_10010,All Season tires,All Season tires,All Season tires,All Season tires,1,1,1,1,0,1,,Catalog (default),,Pneumatici per tutta la stagione,Tous les pneus de saison,Όλα τα ελαστικά εποχής,Pneumatici per tutta la stagione,Tous les pneus de saison,Όλα τα ελαστικά εποχής,Pneumatici per tutta la stagione,Tous les pneus de saison,Όλα τα ελαστικά εποχής,Pneumatici per tutta la stagione,Tous les pneus de saison,Όλα τα ελαστικά εποχής,,,
SUB_10010_04,SUB_10010,Winter tires,Winter tires,Winter tires,Winter tires,1,1,1,1,0,1,,Catalog (default),,Pneumatici invernali,Pneus dhiver,Χειμερινά λάστιχα,Pneumatici invernali,Pneus dhiver,Χειμερινά λάστιχα,Pneumatici invernali,Pneus dhiver,Χειμερινά λάστιχα,Pneumatici invernali,Pneus dhiver,Χειμερινά λάστιχα,,,
SUB_10010_05,SUB_10010,Offroad tires,Offroad tires,Offroad tires,Offroad tires,1,1,1,1,0,1,,Catalog (default),,Pneumatici fuori strada,Pneus offroad,Offroad Tires,Pneumatici fuori strada,Pneus offroad,Offroad Tires,Pneumatici fuori strada,Pneus offroad,Offroad Tires,Pneumatici fuori strada,Pneus offroad,Offroad Tires,,,
SUB_10010_06,SUB_10010,Truck Tires,Truck Tires,Truck Tires,Truck Tires,1,1,1,1,0,1,,Catalog (default),,Pneumatici per camion,Pneus de camion,Ελαστικά φορτηγών,Pneumatici per camion,Pneus de camion,Ελαστικά φορτηγών,Pneumatici per camion,Pneus de camion,Ελαστικά φορτηγών,Pneumatici per camion,Pneus de camion,Ελαστικά φορτηγών,,,
SUB_11001,MC_11001,Accessories,Accessories,Accessories,Accessories,1,1,1,1,0,1,,Catalog (default),,Accessori,Accessoires,αξεσουάρ,Accessori,Accessoires,αξεσουάρ,Accessori,Accessoires,αξεσουάρ,Accessori,Accessoires,αξεσουάρ,,,
SUB_11001_01,SUB_11001,Gloves,Gloves,Gloves,Gloves,1,1,1,1,0,1,,Catalog (default),,Guanti,Des gants,Γάντια,Guanti,Des gants,Γάντια,Guanti,Des gants,Γάντια,Guanti,Des gants,Γάντια,,,
SUB_11001_02,SUB_11001,Belt,Belt,Belt,Belt,1,1,1,1,0,1,,Catalog (default),,Cintura,Ceinture,Ζώνη,Cintura,Ceinture,Ζώνη,Cintura,Ceinture,Ζώνη,Cintura,Ceinture,Ζώνη,,,
SUB_11001_03,SUB_11001,Ties & Pocket Square,Ties & Pocket Square,Ties & Pocket Square,Ties & Pocket Square,1,1,1,1,0,1,,Catalog (default),,Ties & Pocket Square,Liens et carré de poche,Ties & Pocket Square,Ties & Pocket Square,Liens et carré de poche,Ties & Pocket Square,Ties & Pocket Square,Liens et carré de poche,Ties & Pocket Square,Ties & Pocket Square,Liens et carré de poche,Ties & Pocket Square,,,
SUB_11001_04,SUB_11001,Sunglasses,Sunglasses,Sunglasses,Sunglasses,1,1,1,1,0,1,,Catalog (default),,Occhiali da sole,Des lunettes de soleil,Γυαλιά ηλίου,Occhiali da sole,Des lunettes de soleil,Γυαλιά ηλίου,Occhiali da sole,Des lunettes de soleil,Γυαλιά ηλίου,Occhiali da sole,Des lunettes de soleil,Γυαλιά ηλίου,,,
SUB_11002,MC_11001,Clothing for Babies,Clothing for Babies,Clothing for Babies,Clothing for Babies,1,1,1,1,0,1,,Catalog (default),,Abbigliamento per bambini.,Vêtements pour bébés,Ρούχα για μωρά,Abbigliamento per bambini.,Vêtements pour bébés,Ρούχα για μωρά,Abbigliamento per bambini.,Vêtements pour bébés,Ρούχα για μωρά,Abbigliamento per bambini.,Vêtements pour bébés,Ρούχα για μωρά,,,
SUB_11003,MC_11001,Clothes for Women,Clothes for Women,Clothes for Women,Clothes for Women,1,1,1,1,0,1,,Catalog (default),,Abiti per le donne,Vêtements pour femmes,Ρούχα για γυναίκες,Abiti per le donne,Vêtements pour femmes,Ρούχα για γυναίκες,Abiti per le donne,Vêtements pour femmes,Ρούχα για γυναίκες,Abiti per le donne,Vêtements pour femmes,Ρούχα για γυναίκες,,,
SUB_11003_01,SUB_11003,Ladies Jackets & Coats,Ladies Jackets & Coats,Ladies Jackets & Coats,Ladies Jackets & Coats,1,1,1,1,0,1,,Catalog (default),,Giacche da donna e cappotti,Vestes et manteaux dames,Γυναικεία σακάκια και παλτά,Giacche da donna e cappotti,Vestes et manteaux dames,Γυναικεία σακάκια και παλτά,Giacche da donna e cappotti,Vestes et manteaux dames,Γυναικεία σακάκια και παλτά,Giacche da donna e cappotti,Vestes et manteaux dames,Γυναικεία σακάκια και παλτά,,,
SUB_11003_02,SUB_11003,Ladies Trousers,Ladies Trousers,Ladies Trousers,Ladies Trousers,1,1,1,1,0,1,,Catalog (default),,Pantaloni da donna,Pantalon dames,Γυναικεία παντελόνια,Pantaloni da donna,Pantalon dames,Γυναικεία παντελόνια,Pantaloni da donna,Pantalon dames,Γυναικεία παντελόνια,Pantaloni da donna,Pantalon dames,Γυναικεία παντελόνια,,,
SUB_11003_03,SUB_11003,Ladies Blouses,Ladies Blouses,Ladies Blouses,Ladies Blouses,1,1,1,1,0,1,,Catalog (default),,Camicette da donna,Blouses dames,Κυρίες μπλούζες,Camicette da donna,Blouses dames,Κυρίες μπλούζες,Camicette da donna,Blouses dames,Κυρίες μπλούζες,Camicette da donna,Blouses dames,Κυρίες μπλούζες,,,
SUB_11003_04,SUB_11003,Ladies Shirts,Ladies Shirts,Ladies Shirts,Ladies Shirts,1,1,1,1,0,1,,Catalog (default),,Camicie da donna,Chemises dames,Κυρίες πουκάμισα,Camicie da donna,Chemises dames,Κυρίες πουκάμισα,Camicie da donna,Chemises dames,Κυρίες πουκάμισα,Camicie da donna,Chemises dames,Κυρίες πουκάμισα,,,
SUB_11003_05,SUB_11003,Ladies Dresses,Ladies Dresses,Ladies Dresses,Ladies Dresses,1,1,1,1,0,1,,Catalog (default),,Abiti da donna,Robes pour dames,Κυρίες φορέματα,Abiti da donna,Robes pour dames,Κυρίες φορέματα,Abiti da donna,Robes pour dames,Κυρίες φορέματα,Abiti da donna,Robes pour dames,Κυρίες φορέματα,,,
SUB_11003_06,SUB_11003,Ladies Sweaters,Ladies Sweaters,Ladies Sweaters,Ladies Sweaters,1,1,1,1,0,1,,Catalog (default),,Maglioni da donna,Pulls pour dames,Κυρίες πουλόβερ,Maglioni da donna,Pulls pour dames,Κυρίες πουλόβερ,Maglioni da donna,Pulls pour dames,Κυρίες πουλόβερ,Maglioni da donna,Pulls pour dames,Κυρίες πουλόβερ,,,
SUB_11003_07,SUB_11003,Skirts,Skirts,Skirts,Skirts,1,1,1,1,0,1,,Catalog (default),,Gonne,Jupes,Φούστες,Gonne,Jupes,Φούστες,Gonne,Jupes,Φούστες,Gonne,Jupes,Φούστες,,,
SUB_11003_08,SUB_11003,Ladies underwear,Ladies underwear,Ladies underwear,Ladies underwear,1,1,1,1,0,1,,Catalog (default),,Biancheria intima da donna,Sous-vêtements pour dames,Κυρίες Εσώρουχα,Biancheria intima da donna,Sous-vêtements pour dames,Κυρίες Εσώρουχα,Biancheria intima da donna,Sous-vêtements pour dames,Κυρίες Εσώρουχα,Biancheria intima da donna,Sous-vêtements pour dames,Κυρίες Εσώρουχα,,,
SUB_11003_09,SUB_11003,Ladies swimwear,Ladies swimwear,Ladies swimwear,Ladies swimwear,1,1,1,1,0,1,,Catalog (default),,Swimwear da donna,Maillot de bain pour femme,Κυρίες μαγιό,Swimwear da donna,Maillot de bain pour femme,Κυρίες μαγιό,Swimwear da donna,Maillot de bain pour femme,Κυρίες μαγιό,Swimwear da donna,Maillot de bain pour femme,Κυρίες μαγιό,,,
SUB_11003_10,SUB_11003,Ladies nightwear,Ladies nightwear,Ladies nightwear,Ladies nightwear,1,1,1,1,0,1,,Catalog (default),,Nightwear da donna,Vêtements de nuit pour dames,Κυρίες νυχτικά,Nightwear da donna,Vêtements de nuit pour dames,Κυρίες νυχτικά,Nightwear da donna,Vêtements de nuit pour dames,Κυρίες νυχτικά,Nightwear da donna,Vêtements de nuit pour dames,Κυρίες νυχτικά,,,
SUB_11004,MC_11001,Clothing for Men,Clothing for Men,Clothing for Men,Clothing for Men,1,1,1,1,0,1,,Catalog (default),,Abbigliamento per uomo,Vêtements pour hommes,Ρούχα για άνδρες,Abbigliamento per uomo,Vêtements pour hommes,Ρούχα για άνδρες,Abbigliamento per uomo,Vêtements pour hommes,Ρούχα για άνδρες,Abbigliamento per uomo,Vêtements pour hommes,Ρούχα για άνδρες,,,
SUB_11004_01,SUB_11004,Jacket & Coats for men,Jacket & Coats for men,Jacket & Coats for men,Jacket & Coats for men,1,1,1,1,0,1,,Catalog (default),,Giacca e cappotti per uomini,Veste et manteaux pour hommes,Μπουφάν και παλτό για άνδρες,Giacca e cappotti per uomini,Veste et manteaux pour hommes,Μπουφάν και παλτό για άνδρες,Giacca e cappotti per uomini,Veste et manteaux pour hommes,Μπουφάν και παλτό για άνδρες,Giacca e cappotti per uomini,Veste et manteaux pour hommes,Μπουφάν και παλτό για άνδρες,,,
SUB_11004_02,SUB_11004,Pants for men,Pants for men,Pants for men,Pants for men,1,1,1,1,0,1,,Catalog (default),,Pantaloni per uomo,Pantalon pour hommes,Παντελόνι για άνδρες,Pantaloni per uomo,Pantalon pour hommes,Παντελόνι για άνδρες,Pantaloni per uomo,Pantalon pour hommes,Παντελόνι για άνδρες,Pantaloni per uomo,Pantalon pour hommes,Παντελόνι για άνδρες,,,
SUB_11004_03,SUB_11004,T-Shirts for men,T-Shirts for men,T-Shirts for men,T-Shirts for men,1,1,1,1,0,1,,Catalog (default),,T-shirt per gli uomini,T-shirts pour hommes,T-shirts για τους άνδρες,T-shirt per gli uomini,T-shirts pour hommes,T-shirts για τους άνδρες,T-shirt per gli uomini,T-shirts pour hommes,T-shirts για τους άνδρες,T-shirt per gli uomini,T-shirts pour hommes,T-shirts για τους άνδρες,,,
SUB_11004_04,SUB_11004,Shirts for men,Shirts for men,Shirts for men,Shirts for men,1,1,1,1,0,1,,Catalog (default),,Camicie per gli uomini,Chemises pour hommes,Πουκάμισα για τους άνδρες,Camicie per gli uomini,Chemises pour hommes,Πουκάμισα για τους άνδρες,Camicie per gli uomini,Chemises pour hommes,Πουκάμισα για τους άνδρες,Camicie per gli uomini,Chemises pour hommes,Πουκάμισα για τους άνδρες,,,
SUB_11004_05,SUB_11004,Sweater for men,Sweater for men,Sweater for men,Sweater for men,1,1,1,1,0,1,,Catalog (default),,Maglione per uomo,Pull pour hommes,Πουλόβερ για άνδρες,Maglione per uomo,Pull pour hommes,Πουλόβερ για άνδρες,Maglione per uomo,Pull pour hommes,Πουλόβερ για άνδρες,Maglione per uomo,Pull pour hommes,Πουλόβερ για άνδρες,,,
SUB_11004_06,SUB_11004,Underwear for men,Underwear for men,Underwear for men,Underwear for men,1,1,1,1,0,1,,Catalog (default),,Biancheria intima per uomo,Sous-vêtements pour hommes,Εσώρουχα για τους άνδρες,Biancheria intima per uomo,Sous-vêtements pour hommes,Εσώρουχα για τους άνδρες,Biancheria intima per uomo,Sous-vêtements pour hommes,Εσώρουχα για τους άνδρες,Biancheria intima per uomo,Sous-vêtements pour hommes,Εσώρουχα για τους άνδρες,,,
SUB_11004_07,SUB_11004,Swimwear for men,Swimwear for men,Swimwear for men,Swimwear for men,1,1,1,1,0,1,,Catalog (default),,Costumi da bagno per uomo,Vêtements de bain pour hommes,Μαγιό για άνδρες,Costumi da bagno per uomo,Vêtements de bain pour hommes,Μαγιό για άνδρες,Costumi da bagno per uomo,Vêtements de bain pour hommes,Μαγιό για άνδρες,Costumi da bagno per uomo,Vêtements de bain pour hommes,Μαγιό για άνδρες,,,
SUB_11004_08,SUB_11004,Sleepwear for men,Sleepwear for men,Sleepwear for men,Sleepwear for men,1,1,1,1,0,1,,Catalog (default),,Abbigliamento da notte per uomo,Vêtements de nuit pour hommes,Πυζάμες για άνδρες,Abbigliamento da notte per uomo,Vêtements de nuit pour hommes,Πυζάμες για άνδρες,Abbigliamento da notte per uomo,Vêtements de nuit pour hommes,Πυζάμες για άνδρες,Abbigliamento da notte per uomo,Vêtements de nuit pour hommes,Πυζάμες για άνδρες,,,
SUB_11004_09,SUB_11004,Suits for men,Suits for men,Suits for men,Suits for men,1,1,1,1,0,1,,Catalog (default),,Abiti per gli uomini,Costumes pour hommes,Κοστούμια για άνδρες,Abiti per gli uomini,Costumes pour hommes,Κοστούμια για άνδρες,Abiti per gli uomini,Costumes pour hommes,Κοστούμια για άνδρες,Abiti per gli uomini,Costumes pour hommes,Κοστούμια για άνδρες,,,
