key,translation,locale
account.newsletter.text,"Tilmeld dig vores nyhedsbrev og hold dig altid opdateret! Få opdateringer om nyeste smartphones og wearables trends, top mærker og gode tilbud.",da_DK
address.city,City.,da_DK
address.salutation,Hilsen,da_DK
address.street,Gade,da_DK
address.street_nr,Nummer,da_DK
address.zip_code,Postnummer,da_DK
adyen.payment.error.cc_cvv,Kontroller CVC-koden,da_DK
adyen.payment.error.cc_month,Tjek venligst kreditkort måneden,da_DK
adyen.payment.error.cc_number,Tjek venligst kreditkortnummeret,da_DK
adyen.payment.error.cc_year,Tjek venligst kreditkortåret,da_DK
AdyenCreditCard,Kreditkort,da_DK
afiliate.legal.text,"Dette produkt sælges af en tredjeparts sælger. Sælgeren er udelukkende ansvarlig for prissætning, produktbeskrivelse, lagerniveauer og forsendelse. Hvad angår MyWorlds ansvar for hyperlinks og deres indhold, henviser vi til vilkårene for brug, der gælder for MyWorld Marketplace.",da_DK
agent.account.overview,Oversigt,da_DK
agent.account.page_title,Agent,da_DK
agent.account.profile_data,Agent Profile.,da_DK
agent.account.quote_request,Anmodninger om citat,da_DK
agent.authentication.failed,Godkendelse mislykkedes,da_DK
agent.autocomplete.no_results,Ingen resultater fundet,da_DK
agent.confirm_user_selection,Bekræfte,da_DK
agent.control_bar.customer_name,Kunde:,da_DK
agent.control_bar.logout,Log ud,da_DK
agent.control_bar.logout_as_customer,Afslut kundeshjælp,da_DK
agent.control_bar.username,Agent:,da_DK
agent.login.email,Email.,da_DK
agent.login.password,Adgangskode,da_DK
agent.login.title,Få adgang til din konto,da_DK
auth.email,E-mail.,da_DK
auth.im-already-customer,jeg har allerede en konto,da_DK
auth.im-new-customer,Ny kunde,da_DK
auth.login,Tilmelde,da_DK
auth.login-button,Log ind med myworld,da_DK
auth.password,Adgangskode,da_DK
auth.password-forgot,Glemt?,da_DK
auth.register,Tilmeld,da_DK
autocomplete.placeholder,Søg,da_DK
